date,category,cases,deaths,intensive,cases_rate,deaths_rate,icu_rate,population
2022-07-12,80+,5600,33,104,724.2,4.3,13.4,773240
2022-07-12,70-79,10850,41,40,1080.7,4.1,4.0,1003958
2022-07-12,60-69,17150,22,16,1327.8,1.7,1.2,1291651
2022-07-12,50-59,23100,5,10,1524.3,0.3,0.7,1515472
2022-07-12,40-49,26950,5,1,1684.9,0.3,0.1,1599505
2022-07-12,30-39,22750,3,0,1706.4,0.2,0.0,1333233
2022-07-12,20-29,17500,0,0,1556.5,0.0,0.0,1124282
2022-07-12,10-19,14000,0,1,1268.9,0.0,0.1,1103311
2022-07-12,5-9,6300,0,0,1230.6,0.0,0.0,511958
2022-07-12,<5,3850,0,0,833.4,0.0,0.0,461955
2022-07-19,80+,5868,21,142,758.9,2.7,18.4,773240
2022-07-19,70-79,11392,51,33,1134.7,5.1,3.3,1003958
2022-07-19,60-69,17605,30,19,1363.0,2.3,1.5,1291651
2022-07-19,50-59,22438,18,5,1480.6,1.2,0.3,1515472
2022-07-19,40-49,25890,2,1,1618.6,0.1,0.1,1599505
2022-07-19,30-39,22093,5,0,1657.1,0.4,0.0,1333233
2022-07-19,20-29,17260,5,0,1535.2,0.4,0.0,1124282
2022-07-19,10-19,13808,0,0,1251.5,0.0,0.0,1103311
2022-07-19,5-9,6214,0,0,1213.8,0.0,0.0,511958
2022-07-19,<5,4142,0,0,896.6,0.0,0.0,461955
2022-07-26,80+,5818,24,180,752.4,3.1,23.3,773240
2022-07-26,70-79,10666,33,65,1062.4,3.3,6.5,1003958
2022-07-26,60-69,16484,42,17,1276.2,3.3,1.3,1291651
2022-07-26,50-59,21010,24,5,1386.4,1.6,0.3,1515472
2022-07-26,40-49,23919,0,2,1495.4,0.0,0.1,1599505
2022-07-26,30-39,20686,7,1,1551.6,0.5,0.1,1333233
2022-07-26,20-29,15191,2,1,1351.2,0.2,0.1,1124282
2022-07-26,10-19,12606,0,0,1142.6,0.0,0.0,1103311
2022-07-26,5-9,5818,0,0,1136.4,0.0,0.0,511958
2022-07-26,<5,3879,0,0,839.7,0.0,0.0,461955
2022-08-02,80+,5807,38,240,751.0,4.9,31.0,773240
2022-08-02,70-79,9871,38,72,983.2,3.8,7.2,1003958
2022-08-02,60-69,15097,29,30,1168.8,2.2,2.3,1291651
2022-08-02,50-59,18581,21,8,1226.1,1.4,0.5,1515472
2022-08-02,40-49,20904,6,3,1306.9,0.4,0.2,1599505
2022-08-02,30-39,18001,0,0,1350.2,0.0,0.0,1333233
2022-08-02,20-29,13355,3,0,1187.9,0.3,0.0,1124282
2022-08-02,10-19,12194,0,0,1105.2,0.0,0.0,1103311
2022-08-02,5-9,5516,0,0,1077.4,0.0,0.0,511958
2022-08-02,<5,3484,3,0,754.2,0.6,0.0,461955
2022-08-09,80+,4771,29,222,617.0,3.8,28.7,773240
2022-08-09,70-79,8587,65,54,855.3,6.5,5.4,1003958
2022-08-09,60-69,13119,14,28,1015.7,1.1,2.2,1291651
2022-08-09,50-59,15504,0,7,1023.0,0.0,0.5,1515472
2022-08-09,40-49,16936,3,1,1058.8,0.2,0.1,1599505
2022-08-09,30-39,14073,0,0,1055.6,0.0,0.0,1333233
2022-08-09,20-29,10495,6,0,933.5,0.5,0.0,1124282
2022-08-09,10-19,9780,0,0,886.4,0.0,0.0,1103311
2022-08-09,5-9,4771,0,0,931.9,0.0,0.0,511958
2022-08-09,<5,2862,3,1,619.5,0.6,0.2,461955
2022-08-16,80+,4027,175,25,520.8,22.6,3.2,773240
2022-08-16,70-79,6828,58,37,680.1,5.8,3.7,1003958
2022-08-16,60-69,9630,17,25,745.6,1.3,1.9,1291651
2022-08-16,50-59,11030,6,15,727.8,0.4,1.0,1515472
2022-08-16,40-49,12256,0,5,766.2,0.0,0.3,1599505
2022-08-16,30-39,9980,0,3,748.6,0.0,0.2,1333233
2022-08-16,20-29,7353,1,5,654.0,0.1,0.4,1124282
2022-08-16,10-19,7178,0,2,650.6,0.0,0.2,1103311
2022-08-16,5-9,3327,0,0,649.9,0.0,0.0,511958
2022-08-16,<5,2101,0,2,454.8,0.0,0.4,461955
2022-08-23,80+,2782,180,40,359.8,23.3,5.2,773240
2022-08-23,70-79,4901,46,45,488.2,4.6,4.5,1003958
2022-08-23,60-69,7286,24,18,564.1,1.9,1.4,1291651
2022-08-23,50-59,8345,4,13,550.7,0.3,0.9,1515472
2022-08-23,40-49,9538,3,8,596.3,0.2,0.5,1599505
2022-08-23,30-39,8213,0,3,616.0,0.0,0.2,1333233
2022-08-23,20-29,5961,0,5,530.2,0.0,0.4,1124282
2022-08-23,10-19,4901,0,0,444.2,0.0,0.0,1103311
2022-08-23,5-9,2517,0,0,491.6,0.0,0.0,511958
2022-08-23,<5,1590,0,0,344.2,0.0,0.0,461955
2022-08-30,80+,2523,142,28,326.3,18.4,3.6,773240
2022-08-30,70-79,4205,41,41,418.8,4.1,4.1,1003958
2022-08-30,60-69,6608,14,41,511.6,1.1,3.2,1291651
2022-08-30,50-59,7569,2,7,499.4,0.1,0.5,1515472
2022-08-30,40-49,8530,2,0,533.3,0.1,0.0,1599505
2022-08-30,30-39,7449,0,0,558.7,0.0,0.0,1333233
2022-08-30,20-29,5166,0,0,459.5,0.0,0.0,1124282
2022-08-30,10-19,4445,0,0,402.9,0.0,0.0,1103311
2022-08-30,5-9,2523,0,0,492.8,0.0,0.0,511958
2022-08-30,<5,1682,0,0,364.1,0.0,0.0,461955
2022-09-06,80+,2000,128,43,258.7,16.6,5.6,773240
2022-09-06,70-79,3715,32,25,370.0,3.2,2.5,1003958
2022-09-06,60-69,5429,14,22,420.3,1.1,1.7,1291651
2022-09-06,50-59,6096,5,4,402.3,0.3,0.3,1515472
